CUSTOMER_ID|LIMIT_BAL|SEX|EDUCATION|MARRIAGE|AGE|PAY_4|PAY_5|PAY_6|BILL_AMT3|BILL_AMT4|BILL_AMT5|BILL_AMT6|PAY_AMT3|PAY_AMT4|PAY_AMT5|PAY_AMT6
3662|380000.0|2|3|1|44|0|-1|-1|4519.0|3818.0|4096.0|4058.0|2023.0|4102.0|4448.0|7274.0
24358|110000.0|1|2|1|42|-2|-2|-1|77817.0|64246.0|65746.0|57715.0|1285.0|1500.0|60589.0|1620.0
28207|210000.0|1|2|1|39|-1|-1|-1|1443.0|1443.0|1443.0|1443.0|1443.0|1443.0|1443.0|1443.0
14120|180000.0|2|1|2|30|-2|-2|-2|9758.0|6494.0|32830.0|3267.0|6500.0|32830.0|3267.0|2650.0
27017|100000.0|2|3|1|41|0|0|0|77044.0|78333.0|78130.0|77761.0|3263.0|2805.0|2888.0|2680.0
4534|80000.0|2|2|1|32|0|0|0|64469.0|54020.0|55852.0|44286.0|2000.0|3000.0|2000.0|1500.0
3348|130000.0|2|2|1|35|0|0|0|127102.0|65517.0|66925.0|68344.0|5000.0|2500.0|2500.0|3000.0
6384|220000.0|2|1|1|47|0|0|0|177515.0|166282.0|100244.0|-607.0|6495.0|3993.0|0.0|176566.0
16944|20000.0|2|2|1|28|0|0|0|17848.0|19103.0|19229.0|18856.0|1574.0|700.0|688.0|687.0
22914|50000.0|2|2|1|43|-1|0|0|11016.0|22263.0|18711.0|12712.0|22264.0|378.0|258.0|5380.0
5692|140000.0|1|1|2|33|0|0|0|86543.0|68972.0|47268.0|2299.0|1503.0|1083.0|1121.0|67243.0
4850|170000.0|2|2|1|27|0|0|0|167008.0|131544.0|125652.0|127224.0|5000.0|5000.0|5000.0|5000.0
1865|360000.0|2|2|2|31|-1|-2|-2|1340.0|1650.0|4350.0|4792.0|1650.0|4350.0|4792.0|40682.0
3276|290000.0|2|1|2|27|0|0|0|1401.0|1503.0|834.0|931.0|1000.0|200.0|265.0|500.0
19293|10000.0|2|3|2|22|0|-1|0|9272.0|-8758.0|8989.0|9202.0|0.0|30000.0|500.0|953.0
10016|200000.0|1|3|1|40|0|0|0|196537.0|76167.0|76810.0|72039.0|5004.0|2961.0|2579.0|2761.0
5133|110000.0|2|2|2|32|-1|-1|0|-153.0|6540.0|632.0|316.0|7009.0|632.0|0.0|36049.0
28928|360000.0|2|1|2|32|0|0|0|112746.0|102611.0|92290.0|51489.0|6091.0|6227.0|5055.0|27486.0
15818|110000.0|1|2|2|25|0|0|0|37038.0|38336.0|12907.0|13541.0|2000.0|600.0|1000.0|5000.0
1938|200000.0|1|3|1|28|-1|-1|-2|8627.0|1530.0|-200.0|-200.0|1530.0|0.0|0.0|980.0
8918|260000.0|2|2|2|41|0|0|0|254767.0|190432.0|105466.0|2312.0|8555.0|4722.0|2146.0|199485.0
2447|130000.0|2|3|1|47|-1|0|-1|1622.0|5032.0|1749.0|3645.0|5377.0|829.0|3645.0|4213.0
16093|220000.0|1|1|2|35|0|2|2|187220.0|199542.0|202036.0|200956.0|15200.0|7000.0|2000.0|15000.0
20541|80000.0|2|2|1|35|2|0|0|81477.0|79035.0|28503.0|29711.0|0.0|1000.0|2000.0|1500.0
9736|50000.0|2|1|2|23|0|0|0|21081.0|21432.0|21933.0|22569.0|1000.0|1000.0|1000.0|1200.0
27065|120000.0|2|1|3|44|0|0|0|73732.0|12329.0|12329.0|0.0|247.0|0.0|0.0|0.0
25332|50000.0|1|3|1|54|0|0|0|20039.0|20042.0|20097.0|20288.0|700.0|750.0|900.0|692.0
7518|100000.0|2|1|1|28|-1|0|0|388.0|90907.0|91550.0|92907.0|90907.0|3413.0|3359.0|4824.0
27760|10000.0|2|5|2|24|0|0|-2|4139.0|2583.0|0.0|0.0|583.0|0.0|0.0|0.0
28788|170000.0|2|2|1|45|0|0|0|113778.0|117989.0|118803.0|121434.0|6100.0|4210.0|4500.0|4500.0
400|150000.0|2|1|2|27|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
29797|60000.0|2|1|2|29|-1|-1|-1|199.0|3697.0|0.0|532.0|3697.0|0.0|532.0|0.0
5968|20000.0|1|2|1|39|0|0|0|17120.0|18130.0|18491.0|18893.0|1301.0|662.0|700.0|1000.0
26254|230000.0|1|2|1|39|-1|-1|-1|326.0|326.0|326.0|326.0|326.0|326.0|326.0|324.0
23546|180000.0|1|1|1|38|0|0|0|23412.0|25013.0|25899.0|26680.0|2000.0|1300.0|1200.0|1000.0
22733|370000.0|1|2|1|55|0|0|0|370605.0|366054.0|310869.0|311284.0|13500.0|11014.0|12024.0|16027.0
13429|360000.0|1|1|2|36|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19038|50000.0|2|3|2|42|0|0|0|48803.0|46472.0|19766.0|19761.0|2217.0|705.0|725.0|927.0
22289|400000.0|1|2|1|38|0|-1|-1|5856.0|6401.0|389.0|21447.0|1032.0|390.0|21448.0|1001.0
20721|200000.0|1|1|1|30|2|2|2|2500.0|2500.0|2500.0|2500.0|0.0|0.0|0.0|0.0
18883|50000.0|2|2|1|61|0|0|0|50476.0|23319.0|23171.0|24774.0|975.0|1000.0|2000.0|1039.0
29153|10000.0|2|3|1|51|-2|-2|-1|-677.0|-1067.0|-747.0|71.0|0.0|1100.0|818.0|1418.0
10497|180000.0|1|2|2|28|0|0|0|128342.0|122345.0|109228.0|101428.0|4023.0|3785.0|3684.0|4000.0
23794|360000.0|1|2|0|38|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8095|140000.0|2|2|2|28|-2|-2|-2|-176.0|-176.0|-176.0|-176.0|0.0|0.0|0.0|652.0
7760|150000.0|1|2|1|32|0|0|0|146410.0|142858.0|146007.0|130721.0|4000.0|8071.0|4000.0|3283.0
27796|100000.0|1|2|2|29|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
8174|50000.0|2|2|1|30|0|0|0|50558.0|23921.0|24423.0|25059.0|856.0|887.0|1043.0|922.0
13512|160000.0|2|1|2|29|0|-1|0|5464.0|2079.0|1908.0|1394.0|2000.0|2000.0|1350.0|700.0
7293|180000.0|2|1|2|30|0|0|-1|107685.0|106060.0|2958.0|1079.0|3000.0|100.0|1100.0|800.0
21550|280000.0|1|2|1|35|0|0|0|104596.0|106950.0|87706.0|88396.0|4000.0|3000.0|3600.0|3100.0
10239|10000.0|1|3|1|36|2|2|2|8432.0|8150.0|8945.0|8657.0|0.0|1086.0|0.0|353.0
1448|400000.0|1|1|1|42|0|0|0|21089.0|22943.0|22994.0|25172.0|3013.0|3003.0|3003.0|5979.0
7450|50000.0|2|2|2|26|0|-1|0|780.0|390.0|850.0|18460.0|0.0|850.0|18000.0|1000.0
4388|110000.0|1|1|2|30|0|0|0|96347.0|49506.0|49142.0|49251.0|1880.0|1805.0|2182.0|2000.0
13865|130000.0|2|1|2|24|-2|-2|-1|0.0|0.0|0.0|297.0|0.0|0.0|297.0|0.0
20604|60000.0|2|2|2|26|0|0|0|47413.0|36527.0|28170.0|28963.0|2011.0|1200.0|1400.0|1200.0
27509|120000.0|2|2|1|31|0|0|0|45428.0|34401.0|34360.0|35523.0|2041.0|1000.0|1500.0|1000.0
21563|80000.0|1|2|2|42|0|0|0|78553.0|49340.0|48919.0|48443.0|1800.0|1800.0|1800.0|1700.0
20180|50000.0|2|2|1|23|0|0|0|7251.0|8326.0|9184.0|10031.0|1200.0|1000.0|1000.0|1000.0
5376|300000.0|2|1|1|37|-1|-1|-1|2297.0|3115.0|3172.0|1589.0|3138.0|3187.0|1597.0|2394.0
19290|80000.0|2|1|2|33|0|0|0|78790.0|80567.0|78047.0|82942.0|3101.0|3000.0|6328.0|0.0
18655|30000.0|1|2|1|22|4|3|2|28029.0|27120.0|26154.0|25940.0|0.0|0.0|0.0|0.0
4843|30000.0|2|2|2|23|0|0|0|24180.0|25467.0|26241.0|30637.0|2000.0|1500.0|5000.0|2528.0
15912|30000.0|2|2|2|27|0|0|-2|5240.0|400.0|0.0|0.0|0.0|0.0|0.0|0.0
15070|180000.0|2|2|2|31|-1|-1|-1|5488.0|1635.0|1680.0|782.0|1635.0|1680.0|782.0|4374.0
18024|90000.0|2|1|1|29|0|0|0|4387.0|35670.0|41995.0|35912.0|36139.0|618.0|3200.0|8500.0
7007|80000.0|2|3|2|43|0|0|0|55122.0|54006.0|50779.0|50257.0|1779.0|2087.0|1743.0|1800.0
18944|130000.0|1|1|2|46|0|0|0|120976.0|40177.0|41529.0|43734.0|2000.0|2000.0|3000.0|4000.0
8467|200000.0|2|1|2|32|-2|-2|-2|3519.0|1846.0|1330.0|14470.0|1855.0|1337.0|14542.0|2955.0
5271|380000.0|2|1|2|27|-2|-2|-2|7352.0|3401.0|1042.0|4000.0|3401.0|1042.0|4000.0|5000.0
17196|360000.0|1|1|2|29|0|-1|-1|40165.0|20733.0|12525.0|7482.0|103.0|12587.0|7518.0|6412.0
5863|50000.0|2|2|1|23|0|0|0|41711.0|22775.0|4215.0|3016.0|1600.0|452.0|100.0|114.0
14299|200000.0|1|3|1|43|-1|0|0|1270.0|3783.0|2522.0|1261.0|4000.0|0.0|0.0|1436.0
2687|20000.0|1|1|2|33|0|0|0|19703.0|19697.0|17303.0|1554.0|394.0|346.0|31.0|0.0
28306|50000.0|2|2|1|37|0|0|2|32668.0|25738.0|30192.0|27912.0|10000.0|5200.0|0.0|1181.0
26080|80000.0|2|2|1|47|-1|-2|-2|1970.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
26379|80000.0|1|1|2|32|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
6606|50000.0|2|1|2|29|-1|-1|0|4725.0|8933.0|11784.0|9927.0|8933.0|11784.0|199.0|8287.0
8340|140000.0|2|2|2|23|0|0|0|20729.0|15583.0|7218.0|7365.0|2000.0|0.0|147.0|1000.0
7371|60000.0|2|1|2|33|0|-1|-1|12861.0|7888.0|7463.0|3192.0|0.0|7463.0|6384.0|18704.0
16667|300000.0|1|1|2|29|-2|-2|-2|4576.0|3567.0|2180.0|644.0|3585.0|2180.0|644.0|1.0
20425|310000.0|1|2|1|64|0|-1|-1|10124.0|10130.0|7958.0|0.0|6.0|7958.0|0.0|0.0
3901|50000.0|1|1|2|25|0|0|0|18814.0|19189.0|19233.0|19108.0|672.0|837.0|836.0|836.0
24065|80000.0|1|1|2|26|2|2|2|63154.0|63519.0|64351.0|67122.0|2000.0|2000.0|4000.0|2700.0
29808|50000.0|2|1|2|25|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
15790|30000.0|1|2|1|45|2|2|2|17224.0|18241.0|18446.0|18009.0|1600.0|800.0|0.0|1600.0
14962|100000.0|2|2|2|35|-1|-1|0|326.0|326.0|652.0|326.0|326.0|652.0|0.0|326.0
21783|130000.0|2|1|2|30|-1|-1|-1|390.0|540.0|540.0|636.0|540.0|540.0|636.0|3636.0
23441|30000.0|2|3|2|22|0|0|0|29047.0|29507.0|11609.0|11711.0|1147.0|524.0|400.0|666.0
8952|260000.0|1|1|1|30|-1|-1|-1|13333.0|99.0|99.0|172104.0|99.0|99.0|172104.0|30013.0
15811|70000.0|1|3|2|39|0|0|0|57774.0|47326.0|50910.0|55059.0|5000.0|5000.0|5000.0|5000.0
11105|180000.0|2|2|1|26|2|-1|-1|9227.0|3235.0|2655.0|7251.0|0.0|2668.0|7251.0|13365.0
13076|60000.0|1|2|1|39|0|0|0|46074.0|39917.0|39382.0|39799.0|1391.0|1410.0|1580.0|1548.0
7821|90000.0|1|2|1|29|0|0|0|73960.0|2442.0|48063.0|48186.0|770.0|48012.0|1756.0|1894.0
4830|290000.0|1|2|1|42|-2|-1|-1|0.0|0.0|1855.0|3940.0|0.0|1855.0|3940.0|2490.0
8241|30000.0|2|1|1|47|2|2|2|28047.0|29767.0|30498.0|29890.0|2500.0|1500.0|0.0|1200.0
27471|150000.0|1|5|1|34|0|0|0|96000.0|98000.0|100000.0|0.0|2000.0|2000.0|0.0|0.0
20302|430000.0|2|2|1|42|2|2|2|296219.0|300873.0|294527.0|308523.0|11000.0|0.0|19000.0|15000.0
24219|50000.0|1|2|2|42|0|0|0|30628.0|30993.0|29802.0|29253.0|1250.0|4732.0|1100.0|1100.0
25303|30000.0|2|2|1|30|7|7|7|2400.0|2400.0|2400.0|2400.0|0.0|0.0|0.0|0.0
22475|100000.0|2|2|1|40|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
19899|210000.0|2|3|1|34|-2|-2|-2|8173.0|6855.0|2200.0|1500.0|6860.0|2200.0|1500.0|2390.0
3438|250000.0|2|2|2|44|-1|-1|0|3850.0|0.0|32690.0|37141.0|0.0|32690.0|5000.0|5000.0
28283|390000.0|2|1|2|43|0|0|0|88335.0|89396.0|90769.0|91825.0|3200.0|3500.0|3300.0|4000.0
8487|130000.0|1|2|2|38|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
13000|120000.0|1|2|2|35|2|2|0|56950.0|58419.0|56885.0|57920.0|3000.0|0.0|2103.0|2300.0
12279|200000.0|1|1|1|44|-1|-2|-2|3165.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
3599|20000.0|2|2|3|52|0|0|0|10571.0|10995.0|11169.0|11979.0|600.0|500.0|1000.0|500.0
6025|170000.0|1|2|2|31|0|0|0|116189.0|192082.0|120077.0|92593.0|6000.0|7125.0|5000.0|4500.0
11453|20000.0|2|3|1|25|0|0|-2|6401.0|4300.0|1304.0|0.0|0.0|1304.0|0.0|0.0
9726|20000.0|2|1|2|27|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3187.0
15227|10000.0|1|3|1|50|3|2|2|9145.0|8854.0|8563.0|9918.0|0.0|0.0|1500.0|0.0
28491|50000.0|1|1|2|25|2|2|2|47306.0|49296.0|47220.0|49584.0|3000.0|2.0|4005.0|6.0
23576|280000.0|2|1|2|26|0|0|0|195598.0|188878.0|186790.0|180240.0|5620.0|5000.0|5014.0|5135.0
24369|240000.0|1|2|2|67|0|0|0|468202.0|442401.0|419209.0|425061.0|15167.0|16000.0|13133.0|196084.0
665|210000.0|2|1|1|38|-2|-2|-2|16114.0|3353.0|10775.0|2938.0|3353.0|10775.0|3000.0|16520.0
11884|130000.0|2|2|1|28|0|0|-2|50456.0|50000.0|0.0|0.0|1000.0|0.0|0.0|0.0
16039|150000.0|1|3|2|32|0|0|0|105266.0|51456.0|35288.0|29818.0|1500.0|706.0|1000.0|0.0
1161|70000.0|1|1|2|49|0|2|2|38061.0|42545.0|43346.0|44105.0|5133.0|1800.0|1600.0|1900.0
29961|150000.0|2|1|1|33|-1|-1|-1|1782.0|1600.0|0.0|11665.0|1600.0|0.0|11665.0|0.0
19561|50000.0|2|2|1|50|0|0|0|48400.0|29781.0|30082.0|26609.0|1000.0|1100.0|1000.0|1000.0
323|200000.0|1|1|1|44|0|0|0|79418.0|80608.0|81297.0|83602.0|3501.0|3001.0|4001.0|4001.0
13201|200000.0|1|1|2|31|-2|-2|-2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
28263|20000.0|1|2|2|23|2|0|0|18109.0|17521.0|18026.0|19082.0|0.0|796.0|1500.0|0.0
29469|120000.0|2|1|2|45|0|0|2|87941.0|89737.0|95451.0|97379.0|3251.0|7200.0|3600.0|3900.0
2830|50000.0|1|2|2|25|0|-1|0|4273.0|0.0|6805.0|5554.0|0.0|6805.0|2000.0|3782.0
4924|60000.0|2|3|1|39|0|2|0|31123.0|34134.0|23552.0|24020.0|3638.0|0.0|1000.0|3000.0
24418|110000.0|1|1|2|27|0|0|0|93661.0|96185.0|99667.0|102978.0|5000.0|5000.0|5000.0|4000.0
7145|20000.0|1|3|2|37|-1|-1|-2|16551.0|1700.0|0.0|0.0|1700.0|0.0|0.0|0.0
28680|200000.0|1|1|1|47|0|0|0|194396.0|166515.0|163673.0|145683.0|8684.0|5500.0|7437.0|4600.0
